搜房网,涂料频道（全国频道）头图1帧,http://www.icolor.com.cn/images?source=0528_soufun_dope_first_frame																																			1	1	1	1	1	1	1	1	1	1	1	1																				1	1	1	1	1	1	1	1	1	1	1	1																					0	0	0																										
搜房网,涂料频道（全国频道）滚动文字链,http://www.icolor.com.cn/images?source=0528_soufun_dope_scroll_link																																			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1					0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1			0	0	0	0				0	0	0	0											
搜房网,装修大学（全国频道）头图1帧,http://www.icolor.com.cn/weekly_stars?source=0528_soufun_school_first_frame																																1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1															1	1	1	1	0	0	0								0	0	0	0	0	0									0	0	0																										
搜狐焦点网,搜狐家居首页涂料频道首页第一矩形图片,http://www.icolor.com.cn/images?source=0528_sohu_dope_first_picture																																			1	1 	1 	1 	1 	1 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1 	1	1	1	1	1	1	1	1	1	1	1	1	1							0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0
